user_name,comment,brand,gender,label
Hassan Raza,"['میں', 'برسوں', 'سے', 'ڈیل', 'لیپ', 'ٹاپ', 'استعمال', 'کر', 'رہا', 'ہوں', 'اور', 'وہ', 'کبھی', 'مایوس', 'نہیں', 'ہوتے', 'ہیںتعمیر', 'کا', 'معیار', 'ٹھوس', 'ہے', 'اور', 'وہ', 'کام', 'اور', 'تفریح', 'دونوں', 'کے', 'لئے', 'قابل', 'اعتماد', 'ہیں']",Dell,Male,1.0
Zara Malik,"['hp', 'لیپ', 'ٹاپ', 'کارکردگی', 'اور', 'سستی', 'کا', 'ایک', 'بہت', 'بڑا', 'توازن', 'پیش', 'کرتے', 'ہیںمیں', 'آپریشن', 'کی', 'رفتار', 'اور', 'آسانی', 'سے', 'متاثر', 'ہوں']",HP,Female,1.0
Ahmed Khan,"['لینووو', 'لیپ', 'ٹاپ', 'اپنی', 'استحکام', 'اور', 'لمبی', 'عمر', 'کے', 'لئے', 'جانا', 'جاتا', 'ہےمیرا', 'بہت', 'گزر', 'رہا', 'ہے', 'اور', 'یہ', 'اب', 'بھی', 'بے', 'عیب', 'کارکردگی', 'کا', 'مظاہرہ', 'کرتا', 'ہے']",Lenovo,Male,1.0
Sana Ahmed,"['ایپل', 'میک', 'بوکس', 'خوبصورتی', 'اور', 'کارکردگی', 'کا', 'مظہر', 'ہیںوہ', 'تیز', 'چیکنا', 'اور', 'ریٹنا', 'ڈسپلے', 'دم', 'توڑنے', 'والے', 'ہیں']",Apple,Female,1.0
Amir Malik,"['asus', 'لیپ', 'ٹاپ', 'ایک', 'پاور', 'ہاؤس', 'ہیںچاہے', 'وہ', 'گیمنگ', 'ہو', 'یا', 'کام', 'کا', 'مطالبہ', 'کررہا', 'ہو', 'وہ', 'اسے', 'فاتح', 'کی', 'طرح', 'سنبھالتے', 'ہیںمیں', 'کولنگ', 'سسٹم', 'سے', 'متاثر', 'ہوں']",Asus,Male,1.0
Ayesha Shah,"['ڈیل', 'لیپ', 'ٹاپ', 'طلباء', 'کے', 'لئے', 'ایک', 'بہترین', 'انتخاب', 'ہیںوہ', 'قابل', 'اعتماد', 'ہیں', 'بیٹری', 'کی', 'لمبی', 'زندگی', 'ہے', 'اور', 'کی', 'بورڈ', 'لمبے', 'مضامین', 'ٹائپ', 'کرنے', 'کے', 'لئے', 'آرام', 'دہ', 'ہیں']",Dell,Female,1.0
Bilal Khan,"['hp', 'لیپ', 'ٹاپ', 'پیشہ', 'ور', 'افراد', 'کے', 'لئے', 'بہترین', 'ہیںوہ', 'ہلکا', 'پھلکا', 'ہیں', 'ایک', 'چیکنا', 'ڈیزائن', 'ہے', 'اور', 'سیکیورٹی', 'کی', 'خصوصیات', 'ذہنی', 'سکون', 'فراہم', 'کرتی', 'ہیں']",HP,Male,1.0
Sadia Ali,"['لینووو', 'لیپ', 'ٹاپ', 'کاروباری', 'کاموں', 'کے', 'ل', 'my', 'میرے', 'پاس', 'جانے', 'ہیںکی', 'بورڈ', 'طویل', 'ٹائپنگ', 'سیشنوں', 'کے', 'لئے', 'آرام', 'دہ', 'اور', 'پرسکون', 'ہیں', 'اور', 'ڈسپلے', 'تیز', 'اور', 'واضح', 'ہیں']",Lenovo,Female,1.0
Arsalan Ahmed,"['ایپل', 'میک', 'بوکس', 'حتمی', 'پیداواری', 'مشینیں', 'ہیںآپریٹنگ', 'سسٹم', 'بدیہی', 'ہے', 'اور', 'تعمیر', 'کا', 'معیار', 'غیر', 'معمولی', 'ہے']",Apple,Male,1.0
Mahnoor Khan,"['asus', 'لیپ', 'ٹاپ', 'ایک', 'محفل', 'کا', 'خواب', 'ہیںوہ', 'اعلی', 'کارکردگی', 'حیرت', 'انگیز', 'بصری', 'پیش', 'کرتے', 'ہیں', 'اور', 'ڈیزائن', 'سجیلا', 'اور', 'چشم', 'کشا', 'ہے']",Asus,Female,1.0
Abdul Basit,"['ڈیل', 'لیپ', 'ٹاپ', 'میں', 'بہترین', 'کسٹمر', 'سپورٹ', 'ہےجب', 'بھی', 'مجھے', 'کوئی', 'مسئلہ', 'درپیش', 'ہے', 'ان', 'کے', 'نمائندے', 'اس', 'کے', 'حل', 'میں', 'مددگار', 'اور', 'فوری', 'طور', 'پر', 'رہے', 'ہیں']",Dell,Male,1.0
Bushra Ali,"['hp', 'لیپ', 'ٹاپ', 'کا', 'ڈیزائن', 'چیکنا', 'اور', 'جدید', 'ہےمجھے', 'ان', 'کی', 'کاریگری', 'میں', 'پتلا', 'پروفائل', 'اور', 'تفصیل', 'کی', 'طرف', 'توجہ', 'پسند', 'ہے']",HP,Female,1.0
Faizan Raza,"['لینووو', 'لیپ', 'ٹاپ', 'میں', 'بیٹری', 'کی', 'متاثر', 'کن', 'زندگی', 'ہےمیں', 'اقتدار', 'سے', 'باہر', 'بھاگنے', 'کی', 'فکر', 'کیے', 'بغیر', 'چلتے', 'پھرتے', 'کام', 'کرسکتا', 'ہوں']",Lenovo,Male,1.0
Nida Khan,"['ایپل', 'میک', 'بوکس', 'کے', 'پاس', 'ایک', 'بہترین', 'ٹریک', 'پیڈ', 'ہےصحت', 'سے', 'متعلق', 'اور', 'ردعمل', 'نیویگیشن', 'کو', 'ہوا', 'کا', 'جھونکا', 'بنا', 'دیتا', 'ہے']",Apple,Female,1.0
Abdullah Malik,"['asus', 'لیپ', 'ٹاپ', 'بندرگاہوں', 'اور', 'رابطے', 'کے', 'بہت', 'سارے', 'اختیارات', 'پیش', 'کرتے', 'ہیںمیں', 'بغیر', 'کسی', 'پریشانی', 'کے', 'اپنے', 'تمام', 'آلات', 'کو', 'آسانی', 'سے', 'جوڑ', 'سکتا', 'ہوں']",Asus,Male,1.0
Saba Ahmed,"['ڈیل', 'لیپ', 'ٹاپ', 'میں', 'اعلی', 'آڈیو', 'کوالٹی', 'ہےمقررین', 'واضح', 'اور', 'عمیق', 'آواز', 'کی', 'فراہمی', 'کرتے', 'ہیں', 'جو', 'فلمیں', 'دیکھنے', 'یا', 'موسیقی', 'سننے', 'کے', 'ل', 'perfect', 'بہترین', 'ہیں']",Dell,Female,1.0
Salman Khan,"['hp', 'لیپ', 'ٹاپ', 'میں', 'گرافکس', 'کی', 'متاثر', 'کن', 'صلاحیتیں', 'ہیںمیں', 'گرافکس', 'سے', 'متعلق', 'کھیل', 'کھیل', 'سکتا', 'ہوں', 'اور', 'بغیر', 'کسی', 'وقفے', 'کے', 'ویڈیوز', 'میں', 'ترمیم', 'کرسکتا', 'ہوں']",HP,Male,1.0
Farah Ali,"['لینووو', 'لیپ', 'ٹاپ', 'مفید', 'پہلے', 'سے', 'نصب', 'سافٹ', 'ویئر', 'کے', 'ساتھ', 'آتے', 'ہیںشامل', 'ایپلی', 'کیشنز', 'پیداواری', 'صلاحیت', 'کو', 'بڑھاتی', 'ہیں', 'اور', 'میرے', 'کام', 'کو', 'آسان', 'بناتی', 'ہیں']",Lenovo,Female,1.0
Saqib Mahmood,"['ایپل', 'میک', 'بوکس', 'میں', 'ناقابل', 'یقین', 'تعمیر', 'کا', 'معیار', 'ہےایلومینیم', 'کا', 'جسم', 'ٹھوس', 'اور', 'پائیدار', 'محسوس', 'ہوتا', 'ہے', 'جس', 'سے', 'مجھے', 'اس', 'کی', 'لمبی', 'عمر', 'پر', 'اعتماد', 'ملتا', 'ہے']",Apple,Male,1.0
Samina Khan,"['asus', 'لیپ', 'ٹاپ', 'میں', 'کولنگ', 'کے', 'بہترین', 'نظام', 'موجود', 'ہیںیہاں', 'تک', 'کہ', 'شدید', 'گیمنگ', 'سیشنوں', 'کے', 'دوران', 'بھی', 'لیپ', 'ٹاپ', 'ٹھنڈا', 'رہتا', 'ہے', 'جس', 'سے', 'زیادہ', 'سے', 'زیادہ', 'کارکردگی', 'کو', 'یقینی', 'بنایا', 'جاتا', 'ہے']",Asus,Female,1.0
Hamza Raza,"['ایسر', 'لیپ', 'ٹاپ', 'میں', 'درست', 'رنگوں', 'کے', 'ساتھ', 'متحرک', 'ڈسپلے', 'ہوتے', 'ہیںفلمیں', 'دیکھنا', 'اور', 'فوٹو', 'میں', 'ترمیم', 'کرنا', 'ایک', 'بصری', 'خوشی', 'ہے']",Acer,Male,1.0
Aisha Malik,"['ڈیل', 'لیپ', 'ٹاپ', 'میں', 'صارف', 'دوست', 'انٹرفیس', 'ہوتا', 'ہےآپریٹنگ', 'سسٹم', 'بدیہی', 'ہے', 'جس', 'سے', 'کسی', 'کو', 'بھی', 'تشریف', 'لانا', 'اور', 'استعمال', 'کرنا', 'آسان', 'ہوجاتا', 'ہے']",Dell,Female,1.0
Usman Ali,"['hp', 'لیپ', 'ٹاپ', 'میں', 'بہت', 'استحکام', 'ہےمیں', 'نے', 'حادثاتی', 'طور', 'پر', 'میری', 'کچھ', 'بار', 'گرا', 'دی', 'ہے', 'لیکن', 'یہ', 'اب', 'بھی', 'بالکل', 'ٹھیک', 'کام', 'کرتا', 'ہے']",HP,Male,1.0
Shazia Shah,"['لینووو', 'لیپ', 'ٹاپ', 'میں', 'حیرت', 'انگیز', 'کی', 'بورڈ', 'کا', 'معیار', 'ہےچابیاں', 'اچھی', 'طرح', 'سے', 'اسپیس', 'ہیں', 'اور', 'ٹائپنگ', 'کا', 'ایک', 'آرام', 'دہ', 'تجربہ', 'فراہم', 'کرتی', 'ہیں']",Lenovo,Female,1.0
Shahid Khan,"['ایپل', 'میک', 'بوکس', 'میں', 'غیر', 'معمولی', 'سافٹ', 'ویئر', 'کی', 'اصلاح', 'ہےہر', 'چیز', 'آسانی', 'اور', 'موثر', 'انداز', 'میں', 'چلتی', 'ہے', 'جس', 'سے', 'مجھے', 'آسانی', 'سے', 'ملٹی', 'ٹاسک', 'کرنے', 'کی', 'اجازت', 'ملتی', 'ہے']",Apple,Male,1.0
Saima Ahmed,"['asus', 'لیپ', 'ٹاپ', 'میں', 'گیمنگ', 'کی', 'عمدہ', 'کارکردگی', 'ہےطاقتور', 'گرافکس', 'کارڈ', 'اور', 'اعلی', 'ریفریش', 'ریٹ', 'ڈسپلے', 'گیمنگ', 'کو', 'خوشی', 'کا', 'باعث', 'بناتے', 'ہیں']",Asus,Female,1.0
Imran Malik,"['ڈیل', 'لیپ', 'ٹاپ', 'حسب', 'ضرورت', 'کے', 'بہترین', 'اختیارات', 'پیش', 'کرتے', 'ہیںمیں', 'اپنی', 'ترجیحات', 'اور', 'ضروریات', 'کے', 'مطابق', 'اپنے', 'لیپ', 'ٹاپ', 'کو', 'شخصی', 'بنا', 'سکتا', 'ہوں']",Dell,Male,1.0
Rabia Khan,"['hp', 'لیپ', 'ٹاپ', 'میں', 'رابطے', 'کے', 'بہترین', 'اختیارات', 'ہیںوائی', 'فائی', 'اور', 'بلوٹوتھ', 'کنکشن', 'قابل', 'اعتماد', 'اور', 'تیز', 'ہیں']",HP,Female,1.0
Waqar Raza,"['لینووو', 'لیپ', 'ٹاپ', 'میں', 'اعلی', 'درجے', 'کی', 'حفاظتی', 'خصوصیات', 'ہیںمجھے', 'یقین', 'ہے', 'کہ', 'میرا', 'ڈیٹا', 'محفوظ', 'اور', 'محفوظ', 'ہے']",Lenovo,Male,1.0
Ayesha Ahmed,"['ایپل', 'میک', 'بوکس', 'میں', 'ایپل', 'کے', 'دوسرے', 'آلات', 'کے', 'ساتھ', 'ہموار', 'انضمام', 'ہےمیں', 'بغیر', 'کسی', 'ہموار', 'ورک', 'فلو', 'کے', 'لئے', 'اپنے', 'آئی', 'فون', 'اور', 'آئی', 'پیڈ', 'کو', 'آسانی', 'سے', 'ہم', 'آہنگ', 'کرسکتا', 'ہوں']",Apple,Female,1.0
Asad Ali,"['asus', 'لیپ', 'ٹاپ', 'میں', 'ڈسپلے', 'کا', 'متاثر', 'کن', 'معیار', 'ہےرنگ', 'متحرک', 'ہیں', 'اور', 'تفصیلات', 'تیز', 'ہیں', 'جس', 'سے', 'مجموعی', 'طور', 'پر', 'بصری', 'تجربے', 'میں', 'اضافہ', 'ہوتا', 'ہے']",Asus,Male,1.0
Ashraf Raza,"['ڈیل', 'لیپ', 'ٹاپ', 'کو', 'غیر', 'معمولی', 'کسٹمر', 'سپورٹ', 'ہےجب', 'بھی', 'مجھے', 'کوئی', 'مسئلہ', 'درپیش', 'ہوتا', 'ان', 'کے', 'نمائندوں', 'نے', 'اس', 'مسئلے', 'کی', 'مدد', 'اور', 'حل', 'کرنے', 'میں', 'جلدی', 'کی']",Dell,Male,1.0
Asif Ahmed,"['hp', 'لیپ', 'ٹاپ', 'میں', 'لاجواب', 'آڈیو', 'کوالٹی', 'ہےبلٹ', 'ان', 'اسپیکر', 'واضح', 'اور', 'عمیق', 'آواز', 'پیدا', 'کرتے', 'ہیں', 'جس', 'سے', 'میرے', 'ملٹی', 'میڈیا', 'کے', 'تجربے', 'میں', 'اضافہ', 'ہوتا', 'ہے']",HP,Male,1.0
Ayaz Khan,"['لینووو', 'لیپ', 'ٹاپ', 'میں', 'بلڈ', 'کوالٹی', 'کا', 'متاثر', 'کن', 'معیار', 'ہےاستعمال', 'شدہ', 'مواد', 'کو', 'مضبوط', 'اور', 'پائیدار', 'محسوس', 'ہوتا', 'ہے', 'جس', 'سے', 'مجھے', 'آلہ', 'کی', 'لمبی', 'عمر', 'پر', 'اعتماد', 'ملتا', 'ہے']",Lenovo,Male,1.0
Bilawal Raza,"['ایپل', 'میک', 'بوکس', 'کا', 'چیکنا', 'اور', 'خوبصورت', 'ڈیزائن', 'ہےوہ', 'نہ', 'صرف', 'طاقتور', 'ہیں', 'بلکہ', 'ضعف', 'بھی', 'اپیل', 'کرتے', 'ہیں', 'جہاں', 'بھی', 'میں', 'جاتا', 'ہوں', 'بیان', 'دیتے', 'ہیں']",Apple,Male,1.0
Farooq Ahmed,"['asus', 'لیپ', 'ٹاپ', 'میں', 'کولنگ', 'کے', 'بہترین', 'نظام', 'موجود', 'ہیںیہاں', 'تک', 'کہ', 'شدید', 'کاموں', 'کے', 'دوران', 'بھی', 'لیپ', 'ٹاپ', 'ٹھنڈا', 'رہتا', 'ہے', 'جو', 'کسی', 'بھی', 'کارکردگی', 'کو', 'تھروٹلنگ', 'سے', 'روکتا', 'ہے']",Asus,Male,1.0
Ghulam Hussain,"['ڈیل', 'لیپ', 'ٹاپ', 'میں', 'رابطے', 'کی', 'بندرگاہوں', 'کی', 'ایک', 'وسیع', 'رینج', 'ہےبغیر', 'کسی', 'پریشانی', 'کے', 'مختلف', 'پردیی', 'اور', 'لوازمات', 'کو', 'مربوط', 'کرنا', 'آسان', 'ہے']",Dell,Male,1.0
Hameed Raza,"['hp', 'لیپ', 'ٹاپ', 'میں', 'ڈسپلے', 'کی', 'حیرت', 'انگیز', 'قراردادیں', 'ہیںچاہے', 'وہ', 'کام', 'یا', 'تفریح', 'کے', 'لئے', 'ہو', 'بصری', 'کرکرا', 'اور', 'متحرک', 'ہیں', 'جو', 'مواد', 'کو', 'زندہ', 'کرتے', 'ہیں']",HP,Male,1.0
Iftikhar Ahmed,"['لینووو', 'لیپ', 'ٹاپ', 'بہترین', 'ملٹی', 'ٹاسکنگ', 'صلاحیتوں', 'کی', 'پیش', 'کش', 'کرتے', 'ہیںمیں', 'بغیر', 'کسی', 'وقفے', 'یا', 'سست', 'روی', 'کے', 'بیک', 'وقت', 'متعدد', 'ایپلی', 'کیشنز', 'چلا', 'سکتا', 'ہوں']",Lenovo,Male,1.0
Ijaz Raza,"['ایپل', 'میک', 'بوکس', 'میں', 'ہموار', 'ماحولیاتی', 'نظام', 'کا', 'انضمام', 'ہوتا', 'ہےایپل', 'ڈیوائسز', 'میں', 'آسانی', 'سے', 'ڈیٹا', 'کی', 'ہم', 'آہنگی', 'اور', 'منتقلی', 'کی', 'صلاحیت', 'ایک', 'گیم', 'چینجر', 'ہے']",Apple,Male,1.0
Imtiaz Ali,"['asus', 'لیپ', 'ٹاپ', 'میں', 'بیٹری', 'کا', 'غیر', 'معمولی', 'انتظام', 'ہےبجلی', 'کی', 'بچت', 'کی', 'خصوصیات', 'دیرپا', 'بیٹری', 'کی', 'زندگی', 'کو', 'یقینی', 'بناتی', 'ہیں', 'جو', 'چلتے', 'پھرتے', 'استعمال', 'کے', 'ل', 'perfect', 'بہترین', 'ہیں']",Asus,Male,1.0
Javed Ahmed,"['ڈیل', 'لیپ', 'ٹاپ', 'پیداواری', 'سافٹ', 'ویئر', 'کے', 'ساتھ', 'ہموار', 'انضمام', 'فراہم', 'کرتے', 'ہیںپہلے', 'سے', 'نصب', 'شدہ', 'ایپلی', 'کیشنز', 'اور', 'اصلاح', 'کو', 'موثر', 'انداز', 'میں', 'کام', 'کرنا', 'آسان', 'بنا', 'دیتا', 'ہے']",Dell,Male,1.0
Kamal Raza,"['hp', 'لیپ', 'ٹاپ', 'میں', 'بقایا', 'استحکام', 'ہےمیں', 'نے', 'حادثاتی', 'طور', 'پر', 'میرا', 'کچھ', 'بار', 'گرا', 'دیا', 'ہے', 'لیکن', 'یہ', 'اب', 'بھی', 'بغیر', 'کسی', 'قابل', 'ذکر', 'نقصان', 'کے', 'بے', 'عیب', 'کام', 'کرتا', 'ہے']",HP,Male,1.0
Khurram Khan,"['لینووو', 'لیپ', 'ٹاپ', 'میں', 'کی', 'بورڈ', 'کا', 'متاثر', 'کن', 'معیار', 'ہےاچھی', 'کلیدی', 'سفر', 'اور', 'جوابدہ', 'تاثرات', 'کے', 'ساتھ', 'چابیاں', 'ٹائپ', 'کرنے', 'میں', 'آرام', 'دہ', 'ہیں']",Lenovo,Male,1.0
Khan,"['asus', 'لیپ', 'ٹاپ', 'کے', 'دیسیں', 'بٹنز', 'کیسے', 'کام', 'کرتے', 'ہیں']",Asus,Male,2.0
Ali,"['کیا', 'dell', 'لیپ', 'ٹاپ', 'میں', 'پروسیسر', 'کی', 'قوت', 'ہے']",Dell,Male,2.0
Hussain,"['hp', 'لیپ', 'ٹاپ', 'کی', 'ٹچ', 'پیڈ', 'کا', 'عمل', 'کیسے', 'ہے']",HP,Male,2.0
Ahmad,"['lenovo', 'لیپ', 'ٹاپ', 'کا', 'بیٹری', 'چارج', 'کرنے', 'کا', 'وقت', 'کتنا', 'ہے']",Lenovo,Male,2.0
Mohammad,"['کیا', 'asus', 'لیپ', 'ٹاپ', 'کی', 'گرافکس', 'کارڈ', 'قوی', 'ہے']",Asus,Male,2.0
Ahmed,"['acer', 'لیپ', 'ٹاپ', 'کا', 'ٹچ', 'پیڈ', 'کس', 'حد', 'تک', 'متحرک', 'ہے']",Acer,Male,2.0
Shah,"['apple', 'لیپ', 'ٹاپ', 'کے', 'سپیکر', 'کی', 'کوالٹی', 'کیسی', 'ہے']",Apple,Male,2.0
Bakhash,"['dell', 'لیپ', 'ٹاپ', 'کی', 'بیٹری', 'عمدہ', 'وقت', 'کیسے', 'محافظت', 'کرتی', 'ہے']",Dell,Male,2.0
Muhammad,"['hp', 'لیپ', 'ٹاپ', 'کی', 'خوبصورتی', 'اور', 'مضبوطی', 'کیسی', 'ہے']",HP,Male,2.0
Iqbal,"['lenovo', 'لیپ', 'ٹاپ', 'کو', 'لمبے', 'عرصے', 'تک', 'استعمال', 'کرنے', 'کا', 'تجربہ', 'کیسا', 'ہے']",Lenovo,Male,2.0
Ullah,"['asus', 'لیپ', 'ٹاپ', 'کا', 'سائز', 'اور', 'وزن', 'کیسے', 'ہیں']",Asus,Male,2.0
Din,"['acer', 'لیپ', 'ٹاپ', 'کا', 'ٹچ', 'پیڈ', 'ریسپانس', 'دینے', 'میں', 'کتنا', 'وقت', 'لیتا', 'ہے']",Acer,Male,2.0
Khaw,"['apple', 'لیپ', 'ٹاپ', 'کے', 'سپیکر', 'صدا', 'کتنا', 'کمپیوٹر', 'تک', 'پہنچاتے', 'ہیں']",Apple,Male,2.0
Allah,"['dell', 'لیپ', 'ٹاپ', 'کی', 'قیمت', 'کیسی', 'ہے']",Dell,Male,2.0
Nawaz,"['hp', 'لیپ', 'ٹاپ', 'کی', 'گرافکس', 'کارڈ', 'کا', 'حجم', 'کیا', 'ہے']",HP,Male,2.0
Mehmood,"['lenovo', 'لیپ', 'ٹاپ', 'کے', 'ٹچ', 'پیڈ', 'کی', 'سرعت', 'کیسی', 'ہے']",Lenovo,Male,2.0
Aslam,"['hp', 'لیپ', 'ٹاپ', 'کی', 'پرفارمنس', 'کیسی', 'ہوتی', 'ہے']",HP,Male,2.0
Gul,"['کیا', 'dell', 'لیپ', 'ٹاپ', 'کی', 'بیٹری', 'عمر', 'درست', 'ہے']",Dell,Male,2.0
Ashraf,"['hp', 'لیپ', 'ٹاپ', 'کا', 'سیستم', 'کنفیگریشن', 'کیسی', 'ہوتی', 'ہے']",HP,Male,2.0
Abbas,"['اس', 'برانڈ', 'کے', 'لیپ', 'ٹاپ', 'کی', 'پرفارمنس', 'کیسی', 'ہوتی', 'ہے']",Lenovo,Male,2.0
Akhtar,"['acer', 'لیپ', 'ٹاپ', 'کا', 'وزن', 'مناسب', 'ہوتا', 'ہے']",Acer,Male,2.0
Rehman,"['asus', 'لیپ', 'ٹاپ', 'کی', 'سرعت', 'کیسی', 'ہوتی', 'ہے']",Asus,Male,2.0
Bux,"['ایسا', 'لیپ', 'ٹاپ', 'ہے', 'جو', 'سکائپ', 'بٹن', 'کے', 'ساتھ', 'آتا', 'ہے']",HP,Male,2.0
Zaman,"['اس', 'برانڈ', 'کے', 'لیپ', 'ٹاپ', 'کا', 'ٹچ', 'اسکرین', 'کیسی', 'ہوتی', 'ہے']",Lenovo,Male,2.0
Rasool,"['dell', 'لیپ', 'ٹاپ', 'کی', 'ٹچ', 'بٹن', 'کیسا', 'ہوتا', 'ہے']",Dell,Male,2.0
Hassan,"['hp', 'لیپ', 'ٹاپ', 'کی', 'ٹچ', 'بٹن', 'کیسی', 'ہوتی', 'ہے']",HP,Male,2.0
Uddin,"['اس', 'برانڈ', 'کے', 'لیپ', 'ٹاپ', 'کا', 'بیٹری', 'ٹائم', 'کتنا', 'ہوتا', 'ہے']",Lenovo,Male,2.0
Akbar,"['acer', 'لیپ', 'ٹاپ', 'کا', 'پرفارمنس', 'کیسا', 'ہوتا', 'ہے']",Acer,Male,2.0
Begum,"['asus', 'لیپ', 'ٹاپ', 'کی', 'گرافکس', 'کارڈ', 'کیسا', 'ہوتا', 'ہے']",Asus,Female,2.0
Akram,"['ایسا', 'لیپ', 'ٹاپ', 'ہے', 'جو', 'بہت', 'سارے', 'ایکسٹرا', 'فیچرز', 'کے', 'ساتھ', 'آتا', 'ہے']",HP,Male,2.0
Sharif,"['اس', 'برانڈ', 'کے', 'لیپ', 'ٹاپ', 'کا', 'وزن', 'کیسا', 'ہوتا', 'ہے']",Lenovo,Male,2.0
Hayat,"['dell', 'لیپ', 'ٹاپ', 'کی', 'پرفارمنس', 'کیسی', 'ہوتی', 'ہے']",Dell,Male,2.0
Saleem,"['اس', 'برانڈ', 'کے', 'لیپ', 'ٹاپ', 'کی', 'بیٹری', 'عمر', 'درست', 'ہوتی', 'ہے']",Apple,Male,2.0
Afzal,"['بہترین', 'بیٹری', 'عمر', 'والا', 'لیپ', 'ٹاپ', 'کونسا', 'ہوتا', 'ہے']",Microsoft,Male,2.0
Anwar,"['کیا', 'sony', 'vaio', 'لیپ', 'ٹاپ', 'کی', 'بیٹری', 'تکنالوجی', 'میں', 'ممتاز', 'ہے']",Sony,Male,2.0
Siddique,"['dell', 'xps', '15', 'کی', 'بیٹری', 'کی', 'طویل', 'عمر', 'کیا', 'ہوتی', 'ہے']",Dell,Male,2.0
